UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID
37.03629,41.93187,20.40106,261.5779,163.8343,182.3922,91.18326,20.0,2.576291,62bb2bf2-3c19-432e-964f-932b5f1837b1
38.03765,37.22362,20.00457,266.5435,151.5112,199.4378,91.18326,20.0,-4.958889,62bb2bf2-3c19-432e-964f-932b5f1837b1
39.03888,33.44895,19.79502,279.7083,145.0634,219.5918,94.7249,20.0,-13.14865,62bb2bf2-3c19-432e-964f-932b5f1837b1
40.03942,30.35339,19.51749,295.4731,140.7325,240.3203,98.71591,20.00576,-15.75611,62bb2bf2-3c19-432e-964f-932b5f1837b1
41.04008,27.64951,19.29891,312.3521,136.8055,261.1349,103.2313,20.0,-16.86809,62bb2bf2-3c19-432e-964f-932b5f1837b1
42.04034,25.06,18.45943,327.6997,131.6612,281.578,103.7606,20.00087,-15.34348,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
43.04134,21.78598,17.89111,338.1369,119.4276,298.8023,103.8787,20.00011,-10.42682,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
44.04171,18.26643,17.54877,344.6621,103.002,312.0623,103.9217,20.00002,-6.522836,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
45.04284,14.63254,17.40682,347.4372,83.74978,320.7734,103.9374,20.0,-2.771933,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
46.04293,10.97618,17.43307,346.9493,63.0252,324.9577,103.943,20.0,0.4878364,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
47.04313,7.319962,17.53799,344.9451,41.90663,326.2306,103.9451,20.0,2.003791,5de1c19f-2a7e-4dc4-bc6d-5ee9143b2569
2.002458,308.6937,5.7489,468.2089,-363.5988,291.2317,46.90001,20.0,-8.699228,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
3.003973,310.9987,5.63423,477.7053,-358.7942,311.8806,46.9,20.0,-9.482035,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
4.004082,313.2065,5.51587,487.9237,-353.9963,332.5005,46.9,20.0,-10.21727,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
5.00482,315.3213,5.394813,498.8388,-349.1954,353.1334,46.9,20.0,-10.90708,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
6.005007,317.3409,5.272323,510.3937,-344.3971,373.7549,46.9,20.0,-11.5527,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
7.005397,319.2738,5.149933,522.4875,-339.5182,394.3615,46.90001,20.0,-12.08914,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
8.006404,321.1457,5.031002,534.81,-334.2161,414.8756,46.9,20.0,-12.31006,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
9.007615,322.9715,4.916973,547.1835,-328.3082,435.2285,46.9,20.0,-12.35852,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
10.00823,324.737,4.806034,559.7831,-322.0437,455.4618,46.9,20.0,-12.59198,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
11.00957,326.4389,4.697195,572.7145,-315.5479,475.6384,46.9,20.0,-12.91403,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
12.01075,328.0812,4.591243,585.9097,-308.786,495.7234,46.9,20.0,-13.17962,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
13.01148,329.6711,4.48847,599.2874,-301.6901,515.6829,46.9,20.0,-13.36791,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
14.01154,331.2061,4.388741,612.8877,-294.338,535.5342,46.9,20.0,-13.59951,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
15.0119,332.7134,4.293727,626.4193,-286.3703,555.1519,46.9,20.0,-13.52677,fc34a31e-c1b2-40c3-9fd5-98af6cfa7c48
2.003615,116.5448,19.93821,117.0065,98.39836,-49.15569,39.9,10.0,2.262683,4e4c88a3-b8b5-4315-8146-893c8591c327
3.006215,121.8741,20.51215,113.8679,90.56698,-56.31621,39.9,10.0,3.130473,4e4c88a3-b8b5-4315-8146-893c8591c327
4.00647,127.4969,20.90867,111.8025,82.86152,-63.57485,39.9,10.0,2.064873,4e4c88a3-b8b5-4315-8146-893c8591c327
5.006605,133.3114,21.06594,111.0054,75.37335,-71.05667,39.9,10.0,0.7969959,4e4c88a3-b8b5-4315-8146-893c8591c327
6.007269,139.1639,21.02205,111.2265,67.88989,-78.55118,39.9,10.0,-0.2209379,4e4c88a3-b8b5-4315-8146-893c8591c327
7.009146,144.9372,20.78294,112.4486,60.39543,-86.05276,39.9,10.0,-1.219848,4e4c88a3-b8b5-4315-8146-893c8591c327
